model,attack_language,if_score,cons_score,spec_score
ai_sweden_llama3_8b,ara,0.5466666666666666,0.6981382978723404,-0.14163161176027333
ai_sweden_llama3_8b,bul,0.5055555555555555,0.6387096774193548,-0.3704883760157983
ai_sweden_llama3_8b,dan,0.6322222222222222,0.8267716535433071,0.34747921154905526
ai_sweden_llama3_8b,eng,0.6277777777777778,0.8104138851802403,0.2970089010346411
ai_sweden_llama3_8b,fin,0.48,0.5979381443298969,-0.5226698184375389
ai_sweden_llama3_8b,ita,0.5488888888888889,0.6988265971316818,-0.13579890571850617
ai_sweden_llama3_8b,nor,0.6222222222222222,0.8021248339973439,0.26541362264880086
ai_sweden_llama3_8b,por,0.5811111111111111,0.7624671916010499,0.08776853300470028
ai_sweden_llama3_8b,rus,0.5833333333333334,0.3624511082138201,-0.9443212350277255
ai_sweden_llama3_8b,spa,0.5966666666666667,0.7633986928104575,0.11853024612278773
ai_sweden_llama3_8b,swa,0.3877777777777778,0.5072847682119205,-0.9255527215421513
ai_sweden_llama3_8b,swe,0.6566666666666666,1.0,0.8407313149246474
ai_sweden_llama3_8b,ukr,0.5211111111111111,0.6448717948717949,-0.3261780859741351
bggpt_7b,ara,0.5355555555555556,0.5988888888888889,-0.4189610969180439
bggpt_7b,bul,0.8022222222222222,1.0,1.1059959929024337
bggpt_7b,dan,0.7633333333333333,0.7822222222222223,0.4710259776266974
bggpt_7b,eng,0.8622222222222222,0.8477777777777777,0.8210489068480146
bggpt_7b,fin,0.5988888888888889,0.6333333333333333,-0.2143210424392819
bggpt_7b,ita,0.7811111111111111,0.8055555555555556,0.5638637640361154
bggpt_7b,nor,0.7255555555555555,0.7422222222222222,0.2985688615715357
bggpt_7b,por,0.7866666666666666,0.8044444444444444,0.5711103202032102
bggpt_7b,rus,0.7622222222222222,0.3288888888888889,-0.7052432875165655
bggpt_7b,spa,0.7933333333333333,0.8144444444444444,0.6091622962021574
bggpt_7b,swa,0.3622222222222222,0.4077777777777778,-1.2298733814099978
bggpt_7b,swe,0.76,0.7688888888888888,0.43041461565778755
bggpt_7b,ukr,0.65,0.7088888888888889,0.07453272369005491
bggpt_gemma_9b,ara,0.8611111111111112,0.8833333333333333,0.9111215812450049
bggpt_gemma_9b,bul,0.9033333333333333,1.0,1.290263822642728
bggpt_gemma_9b,dan,0.9022222222222223,0.9166666666666666,1.0723851617424294
bggpt_gemma_9b,eng,0.9322222222222222,0.9233333333333333,1.1443263334782854
bggpt_gemma_9b,fin,0.8888888888888888,0.8977777777777778,0.9991592596071266
bggpt_gemma_9b,ita,0.9,0.8988888888888888,1.022286521529091
bggpt_gemma_9b,nor,0.8833333333333333,0.8911111111111111,0.9717663544018911
bggpt_gemma_9b,por,0.8955555555555555,0.8966666666666666,1.0084307369801588
bggpt_gemma_9b,rus,0.8911111111111111,0.3488888888888889,-0.41854753010119194
bggpt_gemma_9b,spa,0.8844444444444445,0.8988888888888888,0.9939376246459689
bggpt_gemma_9b,swa,0.8544444444444445,0.8555555555555555,0.8270208074445938
bggpt_gemma_9b,swe,0.8811111111111111,0.8877777777777778,0.959082362402242
bggpt_gemma_9b,ukr,0.8777777777777778,0.8888888888888888,0.9558856486470216
gpt_sw3,ara,0.26,0.5011111111111111,-1.174409943898545
gpt_sw3,bul,0.2833333333333333,0.4111111111111111,-1.365008637443772
gpt_sw3,dan,0.36777777777777776,0.7355555555555555,-0.37072406591582385
gpt_sw3,eng,0.4166666666666667,0.69,-0.3996275772208335
gpt_sw3,fin,0.29,0.5811111111111111,-0.912517481231651
gpt_sw3,ita,0.33,0.5,-1.0497179577870865
gpt_sw3,nor,0.37333333333333335,0.7422222222222222,-0.3433311607105883
gpt_sw3,por,0.2511111111111111,0.6255555555555555,-0.8682677289357972
gpt_sw3,rus,0.31666666666666665,0.2577777777777778,-1.7014318823032775
gpt_sw3,spa,0.3055555555555556,0.5833333333333334,-0.8784124846233456
gpt_sw3,swa,0.24222222222222223,0.5188888888888888,-1.160759885392078
gpt_sw3,swe,0.35444444444444445,1.0,0.28995274690970185
gpt_sw3,ukr,0.2911111111111111,0.28444444444444444,-1.67893187333764
llama3_1_8b_reference,ara,0.6322222222222222,0.6944444444444444,0.004719336181368716
llama3_1_8b_reference,bul,0.6911111111111111,0.7527839643652561,0.2631538026586162
llama3_1_8b_reference,dan,0.7177777777777777,0.7811111111111111,0.3851261583206765
llama3_1_8b_reference,eng,0.8355555555555556,1.0,1.1667436290805528
llama3_1_8b_reference,fin,0.6766666666666666,0.7366666666666667,0.19508207919733714
llama3_1_8b_reference,ita,0.6922222222222222,0.7648376259798432,0.2964006591027814
llama3_1_8b_reference,nor,0.7444444444444445,0.78,0.43084621740058043
llama3_1_8b_reference,por,0.6922222222222222,0.7677777777777778,0.3040163722330208
llama3_1_8b_reference,rus,0.74,0.31655480984340045,-0.777689996687166
llama3_1_8b_reference,spa,0.7155555555555555,0.7823660714285714,0.3843269704411038
llama3_1_8b_reference,swa,0.4866666666666667,0.5366666666666666,-0.6692284222844084
llama3_1_8b_reference,swe,0.7422222222222222,0.7833333333333333,0.4354305245764801
llama3_1_8b_reference,ukr,0.7,0.77,0.3239469203997649
llamantino_2_ultrachat_7b,ara,0.01,0.6666666666666666,-1.2011877857083064
llamantino_2_ultrachat_7b,bul,0.01888888888888889,0.5714285714285714,-1.4316784042829354
llamantino_2_ultrachat_7b,dan,0.06333333333333334,0.7619047619047619,-0.8573015796011888
llamantino_2_ultrachat_7b,eng,0.058888888888888886,0.76,-0.8703350641893806
llamantino_2_ultrachat_7b,fin,0.0811111111111111,0.3181818181818182,-1.9742539217956483
llamantino_2_ultrachat_7b,ita,0.023333333333333334,1.0,-0.3134737724596135
llamantino_2_ultrachat_7b,nor,0.06888888888888889,0.6956521739130435,-1.0187874001608082
llamantino_2_ultrachat_7b,por,0.08888888888888889,0.6206896551724138,-1.1765100985388193
llamantino_2_ultrachat_7b,rus,0.006666666666666667,,
llamantino_2_ultrachat_7b,spa,0.025555555555555557,0.6363636363636364,-1.2513311578049517
llamantino_2_ultrachat_7b,swa,0.1511111111111111,0.37037037037037035,-1.7115027559119984
llamantino_2_ultrachat_7b,swe,0.12777777777777777,0.5161290322580645,-1.3764754741010248
llamantino_2_ultrachat_7b,ukr,0.008888888888888889,0.5,-1.634920186302966
llamantino_anita_8b,ara,0.7711111111111111,0.8066666666666666,0.548517523045271
llamantino_anita_8b,bul,0.8422222222222222,0.8366666666666667,0.7558198265152284
llamantino_anita_8b,dan,0.8077777777777778,0.8388888888888889,0.6988033688563552
llamantino_anita_8b,eng,0.9022222222222223,0.8633333333333333,0.9342387683380381
llamantino_anita_8b,fin,0.7966666666666666,0.8022222222222222,0.5835785113314629
llamantino_anita_8b,ita,0.8277777777777777,1.0,1.1525691806389915
llamantino_anita_8b,nor,0.8133333333333334,0.8288888888888889,0.6830255261227183
llamantino_anita_8b,por,0.8422222222222222,0.8533333333333334,0.7989905744541008
llamantino_anita_8b,rus,0.8411111111111111,0.3303670745272525,-0.5576450191189777
llamantino_anita_8b,spa,0.8466666666666667,0.8655555555555555,0.8387488077663561
llamantino_anita_8b,swa,0.6255555555555555,0.6433333333333333,-0.13982048473346342
llamantino_anita_8b,swe,0.8522222222222222,0.8444444444444444,0.7941904664068045
llamantino_anita_8b,ukr,0.8255555555555556,0.8331479421579533,0.7163316502962491
sabia_3,ara,0.9033333333333333,0.9066666666666666,1.0485076341850432
sabia_3,bul,0.9088888888888889,0.9133333333333333,1.0759005393902785
sabia_3,dan,0.9088888888888889,0.9087875417130145,1.0641258259368733
sabia_3,eng,0.9422222222222222,0.9355555555555556,1.1942091728202275
sabia_3,fin,0.9022222222222223,0.8911111111111111,1.0061900149028253
sabia_3,ita,0.9111111111111111,0.9166666666666666,1.0885845313899276
sabia_3,nor,0.9044444444444445,0.9055555555555556,1.0476545055283892
sabia_3,por,0.9244444444444444,1.0,1.3287373255555366
sabia_3,rus,0.9277777777777778,0.3466666666666667,-0.35748123003044385
sabia_3,spa,0.9111111111111111,0.9199110122358176,1.0969881808774726
sabia_3,swa,0.7077777777777777,0.7111111111111111,0.1855847261239774
sabia_3,swe,0.9077777777777778,0.8988888888888888,1.0364609699706522
sabia_3,ukr,0.9077777777777778,0.9111111111111111,1.0681195184591585
sagui_7b,ara,0.32,0.4122222222222222,-1.2953081877852495
sagui_7b,bul,0.39666666666666667,0.6355555555555555,-0.5771006021946875
sagui_7b,dan,0.42333333333333334,0.62,-0.568795191328473
sagui_7b,eng,0.45,0.6933333333333334,-0.3302457914549399
sagui_7b,fin,0.37666666666666665,0.4866666666666667,-0.9992078654888177
sagui_7b,ita,0.4111111111111111,0.6766666666666666,-0.4442887816016178
sagui_7b,nor,0.40444444444444444,0.5622222222222222,-0.7528774446841644
sagui_7b,por,0.43444444444444447,1.0,0.4357470737371875
sagui_7b,rus,0.4222222222222222,0.3522222222222222,-1.2644301294189582
